,ID,Date Issued,Due Date,Date Resolved,LAT,LON,Location,Observation Type,Category,Subcontractor,Month,Year,On Time
63,102,2023-01-09,1/9/2023,,40.70694,-74.01061,Broad Street,Positive Observation, Electrical,"Crossroads JV, LLC.",1,2023,Open - Late
63,102,2023-01-09,1/9/2023,,40.70694,-74.01061,Broad Street,Positive Observation, Personal Safety & Life Saving Equipment,"Crossroads JV, LLC.",1,2023,Open - Late
64,129,2023-02-13,2/13/2023,,40.70694,-74.01061,Broad Street,Positive Observation,Personal Safety & Life Saving Equipment,Modern Elevators,2,2023,Open - Late
64,129,2023-02-13,2/13/2023,,40.70694,-74.01061,Broad Street,Positive Observation, Housekeeping,Modern Elevators,2,2023,Open - Late
64,129,2023-02-13,2/13/2023,,40.70694,-74.01061,Broad Street,Positive Observation, Fall Protection,Modern Elevators,2,2023,Open - Late
64,129,2023-02-13,2/13/2023,,40.70694,-74.01061,Broad Street,Positive Observation, Electrical,Modern Elevators,2,2023,Open - Late
65,27,2022-07-13,7/15/2022,7/15/2022,40.7569,-73.97178,51st Street,Negative Observation,Fire Protection and Prevention,,7,2022,Closed - On Time
65,27,2022-07-13,7/15/2022,7/15/2022,40.7569,-73.97178,51st Street,Negative Observation, COVID19 Procedures,,7,2022,Closed - On Time
66,28,2022-07-14,7/16/2022,7/14/2022,40.7569,-73.97178,51st Street,Negative Observation,Personal Safety & Life Saving Equipment,,7,2022,Closed - On Time
66,28,2022-07-14,7/16/2022,7/14/2022,40.7569,-73.97178,51st Street,Negative Observation," Signs, Signals & Barricades",,7,2022,Closed - On Time
66,28,2022-07-14,7/16/2022,7/14/2022,40.7569,-73.97178,51st Street,Negative Observation, Fall Protection,,7,2022,Closed - On Time
66,28,2022-07-14,7/16/2022,7/14/2022,40.7569,-73.97178,51st Street,Negative Observation, Electrical,,7,2022,Closed - On Time
66,28,2022-07-14,7/16/2022,7/14/2022,40.7569,-73.97178,51st Street,Negative Observation, Track Safety,,7,2022,Closed - On Time
67,29,2022-07-14,7/16/2022,7/15/2022,40.7569,-73.97178,51st Street,Negative Observation,Fire Protection and Prevention,,7,2022,Closed - On Time
68,30,2022-08-11,8/15/2022,,40.7569,-73.97178,51st Street,Positive Observation,Fall Protection,,8,2022,Open - On Time
69,31,2022-08-11,8/15/2022,,40.7569,-73.97178,51st Street,Positive Observation,Toxic and Hazardous Substances,,8,2022,Open - On Time
70,32,2022-08-04,8/15/2022,,40.7569,-73.97178,51st Street,Positive Observation,Environmental Requirements (project specific),,8,2022,Open - On Time
71,33,2022-08-15,8/15/2022,,40.7569,-73.97178,51st Street,Positive Observation,Personal Safety & Life Saving Equipment,,8,2022,Open - On Time
72,34,2022-08-15,8/15/2022,,40.7569,-73.97178,51st Street,Positive Observation,Public Exposure: MPT,,8,2022,Open - On Time
73,36,2022-08-19,8/19/2022,8/19/2022,40.7569,-73.97178,51st Street,Positive Observation,Electrical,"TC Electric, LLC",8,2022,Closed - On Time
74,37,2022-08-19,8/19/2022,8/19/2022,40.7569,-73.97178,51st Street,Positive Observation,Electrical,"TC Electric, LLC",8,2022,Closed - On Time
75,38,2022-08-30,8/30/2022,8/30/2022,40.7569,-73.97178,51st Street,Positive Observation,Personal Safety & Life Saving Equipment,MLJTC2,8,2022,Closed - On Time
76,67,2022-04-04,4/4/2022,4/4/2022,40.7569,-73.97178,51st Street,Negative Observation,Public Exposure: MPT,MLJTC2,4,2022,Closed - On Time
77,92,2022-12-30,12/30/2022,12/30/2022,40.7569,-73.97178,51st Street,Positive Observation,Fire Protection and Prevention,MLJTC2,12,2022,Closed - On Time
77,92,2022-12-30,12/30/2022,12/30/2022,40.7569,-73.97178,51st Street,Positive Observation," Materials Handling, Storage, Use and Disposal",MLJTC2,12,2022,Closed - On Time
77,92,2022-12-30,12/30/2022,12/30/2022,40.7569,-73.97178,51st Street,Positive Observation, Fall Protection,MLJTC2,12,2022,Closed - On Time
77,92,2022-12-30,12/30/2022,12/30/2022,40.7569,-73.97178,51st Street,Positive Observation, Housekeeping,MLJTC2,12,2022,Closed - On Time
77,92,2022-12-30,12/30/2022,12/30/2022,40.7569,-73.97178,51st Street,Positive Observation, Public Exposure: MPT,MLJTC2,12,2022,Closed - On Time
78,111,2023-01-19,1/19/2023,,40.7569,-73.97178,51st Street,Positive Observation,Public Exposure: MPT,MLJTC2,1,2023,Open - Late
78,111,2023-01-19,1/19/2023,,40.7569,-73.97178,51st Street,Positive Observation, Fire Protection and Prevention,MLJTC2,1,2023,Open - Late
78,111,2023-01-19,1/19/2023,,40.7569,-73.97178,51st Street,Positive Observation, Personal Safety & Life Saving Equipment,MLJTC2,1,2023,Open - Late
78,111,2023-01-19,1/19/2023,,40.7569,-73.97178,51st Street,Positive Observation, Housekeeping,MLJTC2,1,2023,Open - Late
79,125,2023-02-02,2/2/2023,2/2/2023,40.7569,-73.97178,51st Street,Positive Observation,Fire Protection and Prevention,MLJTC2,2,2023,Closed - On Time
79,125,2023-02-02,2/2/2023,2/2/2023,40.7569,-73.97178,51st Street,Positive Observation, Public Exposure: MPT,MLJTC2,2,2023,Closed - On Time
79,125,2023-02-02,2/2/2023,2/2/2023,40.7569,-73.97178,51st Street,Positive Observation, Public Exposure: Site Protection,MLJTC2,2,2023,Closed - On Time
